Dennis Schroder,B,Atlanta Hawks,0
Paul Millsap,A,Atlanta Hawks,0
Tim Hardaway Jr,E,Atlanta Hawks,0
Kent Bazemore,B-E,Atlanta Hawks,0
Taurean Prince,A,Atlanta Hawks,0
Dwight Howard,P,Atlanta Hawks,0
Jose Calderon,B-E,Atlanta Hawks,0
Ersan Ilyasova,AP,Atlanta Hawks,0
Mike Muscala,P,Atlanta Hawks,0
Malcolm Delaney,B-E,Atlanta Hawks,0
Mike Dunleavy,E-A,Atlanta Hawks,0
Thabo Sefolosha,B-E,Atlanta Hawks,0
Kris Humphries,AP,Atlanta Hawks,0
Isaiah Thomas,B,Boston Celtics,0
Avery Bradley,B-E,Boston Celtics,0
Jae Crowder,A,Boston Celtics,0
Al Horford,P,Boston Celtics,0
Marcus Smart,B-E,Boston Celtics,0
Kelly Olynyk,AP,Boston Celtics,0
Gerald Green,E-A,Boston Celtics,0
Terry Rozier,B,Boston Celtics,0
Jaylen Brown,A,Boston Celtics,0
Amir Johnson,AP,Boston Celtics,0
Tyler Zeller,P,Boston Celtics,0
Jonas Jerebko,AP,Boston Celtics,0
James Young,E,Boston Celtics,0
Brook Lopez,P,Brooklyn Nets,0
Bojan Bogdanovic,A,Brooklyn Nets,0
Jeremy Lin,B,Brooklyn Nets,0
Sean Kilpatrick,B-E,Brooklyn Nets,0
Trevor Booker,A,Brooklyn Nets,0
Joe Harris,B-E,Brooklyn Nets,0
Isaiah Whitehead,B-E,Brooklyn Nets,0
Rondae Hollis-Jefferson,A,Brooklyn Nets,0
Caris LeVert,B-E,Brooklyn Nets,0
Justin Hamilton,P,Brooklyn Nets,0
Archie Goodwin,B-E,Brooklyn Nets,0
Spencer Dinwiddie,B-E,Brooklyn Nets,0
Yogi Ferrell,B,Brooklyn Nets,0
Quincy Acy,AP,Brooklyn Nets,0
Randy Foye,B-E,Brooklyn Nets,0
Luis Scola,AP,Brooklyn Nets,0
Anthony Bennett,AP,Brooklyn Nets,0
Andrew Nicholson,A,Brooklyn Nets,0
Greivis Vasquez,B-E,Brooklyn Nets,0
Chris McCullough,AP,Brooklyn Nets,0
Kemba Walker,B-E,Charlotte Hornets,0
Nicolas Batum,E-A,Charlotte Hornets,0
Frank Kaminsky,P,Charlotte Hornets,0
Marvin Williams,A,Charlotte Hornets,0
Marco Belinelli,E,Charlotte Hornets,0
Jeremy Lamb,E,Charlotte Hornets,0
Michael Kidd-Gilchrist,A,Charlotte Hornets,0
Cody Zeller,AP-P,Charlotte Hornets,0
Ramon Sessions,B,Charlotte Hornets,0
Johnny O Bryant III,AP-P,Charlotte Hornets,0
Briante Weber,B,Charlotte Hornets,0
Brian Roberts,B,Charlotte Hornets,0
Mike Tobey,P,Charlotte Hornets,0
Miles Plumlee,AP-P,Charlotte Hornets,0
Christian Wood,AP,Charlotte Hornets,0
Treveon Graham,E-A,Charlotte Hornets,0
Aaron Harrison,E,Charlotte Hornets,0
Jimmy Butler,E,Chicago Bulls,0
Dwyane Wade,B-E,Chicago Bulls,0
Rajon Rondo,B,Chicago Bulls,0
Robin Lopez,P,Chicago Bulls,0
Isaiah Canaan,B,Chicago Bulls,0
Nikola Mirotic,AP,Chicago Bulls,0
Paul Zipser,A,Chicago Bulls,0
Bobby Portis,AP,Chicago Bulls,0
Jerian Grant,B-E,Chicago Bulls,0
Joffrey Lauvergne,AP-P,Chicago Bulls,0
Michael Carter-Williams,B,Chicago Bulls,0
Anthony Morrow,E,Chicago Bulls,0
Cristiano Felicio,AP-P,Chicago Bulls,0
Cameron Payne,B,Chicago Bulls,0
Denzel Valentine,E,Chicago Bulls,0
Kyrie Irving,B,Cleveland Cavaliers,0
LeBron James,A,Cleveland Cavaliers,0
Kevin Love,AP,Cleveland Cavaliers,0
Tristan Thompson,P,Cleveland Cavaliers,0
Kyle Korver,E,Cleveland Cavaliers,0
Channing Frye,AP,cleveland Cavaliers,0
JR Smith,E,Cleveland Cavaliers,0
Iman Shumpert,E,Cleveland Cavaliers,0
Deron Williams,B,Cleveland Cavaliers,0
Richard Jefferson,A,Cleveland Cavaliers,0
Derrick Williams,AP,Cleveland Cavaliers,0
Dahntay Jones,E,Cleveland Cavaliers,0
James Jones,E-A,Cleveland Cavaliers,0
Harrison Barnes,A,Dallas Mavericks,0
Dirk Nowitzki,AP,Dallas Mavericks,0
Wesley Matthews,E,Dallas Mavericks,0
Seth Curry,B,Dallas Mavericks,0
J.J. Barea,B-E,Dallas Mavericks,0
Yogi Ferrell,B-E,Dallas Mavericks,0
Nerlens Noel,P,Dallas Mavericks,0
DeAndre Liggins,B,Dallas Mavericks,0
Jonathan Gibson,B,Dallas Mavericks,0
Devin Harris,B,Dallas Mavericks,0
Pierre Jackson,E,Dallas Mavericks,0
Dwight Powell,AP,Dallas Mavericks,0
Jarrod Uthoff,AP,Dallas Mavericks,0
Dorian Finney-Smith,A,Dallas Mavericks,0
Manny Harris,E,Dallas Mavericks,0
Andrew Bogut,P,Dallas Mavericks,0
Nicolas Brussino,E,Dallas Mavericks,0
Salah Mejri,P,Dallas Mavericks,0
AJ Hammons,P,Dallas Mavericks,0
Ben Bentil,A,Dallas Mavericks,0
Wilson Chandler,A,Denver Nuggets,0
Danilo Gallinari,A,Denver Nuggets,0
Nikola Jokic,P,Denver Nuggets,0
Gary Harris,E,Denver Nuggets,0
Will Barton,B-E,Denver Nuggets,0
Emmanuel Mudiay,B,Denver Nuggets,0
Jamal Murray,B-E,Denver Nuggets,0
Jameer Nelson,B,Denver Nuggets,0
Kenneth Faried,AP,Denver Nuggets,0
Mason Plumlee,P,Denver Nuggets,0
Darrell Arthur,A,Denver Nuggets,0
Juan Hernangomez,A,Denver Nuggets,0
